City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bredasdorp,ZA,-34.5322,20.0403,54.63,94,52,3.62,broken clouds
80,Piquete,BR,-22.6136,-45.1761,64.69,89,0,2.57,clear sky
81,Kaniama,CD,-7.5667,24.1833,66.33,95,97,3.53,overcast clouds
82,Umm Kaddadah,SD,13.6017,26.6876,79.83,13,0,5.66,clear sky
83,Coahuayana,MX,18.7333,-103.6833,78.1,58,6,4.16,clear sky
84,Timmins,CA,48.4669,-81.3331,55.22,41,100,10.36,overcast clouds
85,Orlik,RU,52.5178,99.825,48.34,45,92,3.29,overcast clouds
86,Champerico,GT,14.3,-91.9167,88.34,68,90,6.08,overcast clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,51.87,71,75,18.99,broken clouds
88,Cabo Rojo,PR,18.0866,-67.1457,79.9,83,100,8.01,light rain
89,Avarua,CK,-21.2078,-159.775,84.25,70,80,4.61,broken clouds
90,Sao Pedro,BR,-22.5486,-47.9139,68.58,61,17,1.86,few clouds
91,Valle De Allende,MX,26.9333,-105.4,83.98,6,43,18.84,scattered clouds
92,Hamilton,US,39.1834,-84.5333,64.35,66,10,9.19,clear sky
93,Ryotsu,JP,38.0833,138.4333,52.41,59,75,2.86,broken clouds
94,Grand Gaube,MU,-20.0064,57.6608,73.38,80,3,7.72,clear sky
95,Bethel,US,41.3712,-73.414,57.36,53,100,4.0,overcast clouds
96,Warri,NG,5.5167,5.75,76.17,86,100,2.37,overcast clouds
97,Saint George,US,37.1041,-113.5841,73.63,13,3,14.0,clear sky
98,Chuy,UY,-33.6971,-53.4616,50.56,83,0,6.96,clear sky
99,Fukue,JP,32.6881,128.8419,62.96,42,100,11.54,overcast clouds
100,Buala,SB,-8.145,159.5921,84.76,70,98,4.38,light rain
101,Comodoro Rivadavia,AR,-45.8667,-67.5,47.75,81,60,4.05,broken clouds
102,Caconda,AO,-13.7333,15.0667,55.9,74,1,4.61,clear sky
103,Geraldton,AU,-28.7667,114.6,64.81,63,0,8.05,clear sky
104,Oranjestad,AW,12.524,-70.027,80.55,83,20,24.16,few clouds
105,Caravelas,BR,-17.7125,-39.2481,74.03,81,0,5.19,clear sky
106,Kaitangata,NZ,-46.2817,169.8464,62.22,63,33,4.97,scattered clouds
107,Monrovia,LR,6.3005,-10.7969,80.47,82,100,8.12,moderate rain
108,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
109,Talnakh,RU,69.4865,88.3972,20.21,94,100,7.65,light snow
110,Katete,UG,-0.7818,29.7544,58.53,93,100,3.09,overcast clouds
111,Berlevag,NO,70.8578,29.0864,19.2,72,98,11.34,overcast clouds
112,Koumac,NC,-20.5667,164.2833,79.66,75,59,4.61,broken clouds
113,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.07,87,24,6.22,few clouds
114,Xuddur,SO,4.1213,43.8894,71.51,91,100,10.6,light rain
115,Road Town,VG,18.4167,-64.6167,78.87,82,100,15.9,light rain
116,Hithadhoo,MV,-0.6,73.0833,85.53,72,100,17.67,overcast clouds
117,Nemuro,JP,43.3236,145.575,41.05,96,100,28.83,overcast clouds
118,Barrow,US,71.2906,-156.7887,19.42,86,100,13.8,overcast clouds
119,Fairbanks,US,64.8378,-147.7164,56.61,34,100,1.01,overcast clouds
120,Ilebo,CD,-4.3167,20.5833,68.65,99,59,1.74,broken clouds
121,Butaritari,KI,3.0707,172.7902,81.37,78,33,12.71,light rain
122,Culfa,AZ,38.9558,45.6308,60.67,70,100,4.99,overcast clouds
123,Kununurra,AU,-15.7667,128.7333,87.78,40,7,12.66,clear sky
124,Vila Velha,BR,-20.3297,-40.2925,78.75,80,0,9.22,clear sky
125,Narsaq,GL,60.9167,-46.05,41.22,80,100,1.72,overcast clouds
126,Gallup,US,35.5281,-108.7426,69.64,10,0,26.46,clear sky
127,Manta,EC,-0.95,-80.7333,75.09,82,100,6.2,overcast clouds
128,Soma,TR,39.1855,27.6094,50.31,95,100,7.31,overcast clouds
129,Okha,RU,53.5739,142.9478,33.69,94,100,7.58,overcast clouds
130,Klaksvik,FO,62.2266,-6.589,40.12,71,63,22.84,broken clouds
131,Cockburn Town,TC,21.4612,-71.1419,77.09,82,54,24.47,broken clouds
132,Puerto Ayora,EC,-0.7393,-90.3518,72.41,89,59,4.76,broken clouds
133,Saldanha,ZA,-33.0117,17.9442,55.45,69,24,7.14,few clouds
134,Saint-Philippe,RE,-21.3585,55.7679,73.22,84,0,2.89,clear sky
135,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,82,2,12.88,clear sky
136,Hambantota,LK,6.1241,81.1185,77.34,100,20,3.44,few clouds
137,Saryozek,KZ,44.3583,77.9753,66.07,37,100,8.25,overcast clouds
138,Sinnamary,GF,5.3833,-52.95,77.79,84,95,11.14,overcast clouds
139,Kapaa,US,22.0752,-159.319,84.18,81,40,14.97,light rain
140,Beyneu,KZ,45.3167,55.2,58.87,50,0,14.47,clear sky
141,Kodarma,IN,24.4667,85.6,79.7,61,5,8.32,clear sky
142,Tromso,NO,69.6496,18.957,32.38,93,100,3.44,light snow
143,Mananjary,MG,-21.2167,48.3333,70.75,92,24,8.5,few clouds
144,Chany,RU,55.3121,76.7647,40.28,59,12,11.12,few clouds
145,Lavrentiya,RU,65.5833,-171.0,18.9,73,11,11.5,few clouds
